MESSAGE_CODE,MESSAGE_CLASS,MESSAGE_TEXT
11201,Dynamic-Authorization,Received disconnect dynamic authorization request
11202,Dynamic-Authorization,Received disconnect and port shutdown dynamic authorization request
11203,Dynamic-Authorization,Received disconnect and port bounce dynamic authorization request
11204,Dynamic-Authorization,Received reauthenticate request
11205,Dynamic-Authorization,Could not find Network Access Device
11206,Dynamic-Authorization,Could not find Client ISE Node
11207,Dynamic-Authorization,Received disconnect dynamic authorization response
11208,Dynamic-Authorization,Received disconnect and  port shutdown dynamic authorization response
11209,Dynamic-Authorization,Received disconnect and port bounce dynamic authorization response
11210,Dynamic-Authorization,Received a reauthenticate response
11211,Dynamic-Authorization,Proxying request to Dynamic Authorization Client ISE
11212,Dynamic-Authorization,Forwarding your request to Network Access Device
11213,Dynamic-Authorization,No response received from Network Access Device
11214,Dynamic-Authorization,An invalid response received from Network Access Device
11215,Dynamic-Authorization,No response has been received from Dynamic Authorization Client in ISE
11216,Dynamic-Authorization,The Internal Proxy PAC generation has failed
11217,Dynamic-Authorization,Prepared the disconnect dynamic authorization request
11218,Dynamic-Authorization,Prepared the disconnect and port shutdown dynamic authorization request
11219,Dynamic-Authorization,Prepared the disconnect and port bounce dynamic authorization request
11220,Dynamic-Authorization,Prepared the reauthenticate request
11221,Dynamic-Authorization,Received a disconnect dynamic authorization ACK response
11222,Dynamic-Authorization,Received a disconnect dynamic authorization NAK response
11223,Dynamic-Authorization,Received a dynamic authorization CoA ACK response
11224,Dynamic-Authorization,Received a dynamic authorization CoA NAK response
11225,Dynamic-Authorization,The dynamic authorization request was rejected due to a critical logging error
11226,Dynamic-Authorization,"ISE Proxy Node, functioning as Dynamic Authorization Client, is deregistered from the deployment"
11227,Dynamic-Authorization,"ISE Proxy Node, functioning as Dynamic Authorization Client, is marked as inactive in the deployment"
11300,SGA,Could not locate SGA Device
11301,SGA,SGA Device found
11302,RADIUS,Received Secure RADIUS request without a cts-pac-opaque cisco-av-pair attribute
11303,RADIUS,Could not parse the cts-pac-opaque attribute
11304,SGA,Could not retrieve requested Security Group Tag
11305,SGA,Could not retrieve requested Security Group ACL
11306,RADIUS,PAC has expired
11307,RADIUS,Incorrect RADIUS CHAP attribute
11308,RADIUS,Incorrect RADIUS MS-CHAP v1 attribute
11309,RADIUS,Incorrect RADIUS MS-CHAP v2 attribute
11310,SGA,Sent Security Group Access Control List to client
11311,SGA,Failed to locate ACE of Security Group Access Control List
11312,SGA,Sent fragmented Security Group Access Control List data to client; awaiting follow-up request to download remaining ACEs
11320,SGA,Sent fragmented Environment data to client; awaiting follow-up request to download remaining data
11350,RADIUS-Proxy,Detected proxy loop; dropping request
11351,RADIUS-Proxy,Failed to read RADIUS proxy configuration; dropping request
11352,RADIUS-Proxy,Response Proxy-State attribute validation failed
11353,RADIUS-Proxy,No more external RADIUS servers; can't perform failover
11354,RADIUS-Proxy,Accounting request received but neither local nor remote accounting is configured
11355,RADIUS-Proxy,Start forwarding request to remote RADIUS server
11356,RADIUS-Proxy,Failed to forward request to current remote RADIUS server
11357,RADIUS-Proxy,Successfully forwarded request to current remote RADIUS server
11358,RADIUS-Proxy,RADIUS proxy received incoming request for forwarding
11359,RADIUS-Proxy,Failed to forward request to current remote RADIUS server; an invalid response was received
11360,RADIUS-Proxy,RADIUS proxy failed to validate incoming request
11361,RADIUS-Proxy,RADIUS proxy received valid incoming authentication request
11362,RADIUS-Proxy,RADIUS proxy received valid incoming accounting request
11363,RADIUS-Proxy,RADIUS proxy performing local accounting
11364,RADIUS-Proxy,RADIUS proxy performing remote accounting
11400,EAP,EAP-MSCHAP password change not allowed by the Allowed Protocols
11401,EAP,Prepared RADIUS Access-Reject after the successful in-band PAC provisioning
11402,EAP,EAP-GTC password change not allowed by the Allowed Protocols
11500,EAP,Invalid or unexpected EAP payload received
11501,EAP,Invalid EAP payload
11502,EAP,EAP packet contains invalid type
11503,EAP,Prepared EAP-Success
11504,EAP,Prepared EAP-Failure
11506,EAP,Prepared EAP-Request/Identity
11507,EAP,Extracted EAP-Response/Identity
11508,EAP,EAP-Response/Identity contains invalid identity data
11509,EAP,Access Service does not allow any EAP protocols
11510,EAP,Invalid EAP-Response/NAK; EAP-negotiation failed
11511,EAP,Extracted EAP-Response/NAK packet not requesting any EAP protocols; EAP-negotiation failed
